Tyè 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
575,7642924;0,95030349;;585,0204874;815,4296875;0,815429688;;538,5152817;0,88703966;;;;;;;;;;;;;;;;;;;;;;;
575,6791221;0,95599393;;585,1142354;820,3125;0,8203125;;538,2491758;0,892351275;;;;;;;;;;;;;;;;;;;;;;;
575,2940559;0,96168437;;584,8866971;825,1953125;0,825195313;;538,1431802;0,89766289;;;;;;;;;;;;;;;;;;;;;;;
575,2736109;0,96737481;;580,7136051;830,078125;0,830078125;;537,9682054;0,902974504;;;;;;;;;;;;;;;;;;;;;;;
575,0448726;0,97306525;;580,5831953;834,9609375;0,834960938;;537,872154;0,908286119;;;;;;;;;;;;;;;;;;;;;;;
570,6945151;0,97875569;;581,1075119;839,84375;0,83984375;;538,2640543;0,913597734;;;;;;;;;;;;;;;;;;;;;;;
570,639746;0,984446131;;581,1007204;844,7265625;0,844726563;;538,229052;0,918909348;;;;;;;;;;;;;;;;;;;;;;;
570,5975944;0,990136571;;581,5426916;849,609375;0,849609375;;538,6139804;0,924220963;;;;;;;;;;;;;;;;;;;;;;;
570,4664278;0,995827011;;582,0007362;854,4921875;0,854492188;;538,8682535;0,929532578;;;;;;;;;;;;;;;;;;;;;;;
570,4722031;1,001517451;;582,3413211;859,375;0,859375;;539,0002311;0,934844193;;;;;;;;;;;;;;;;;;;;;;;
570,5144976;1,007207891;;582,3981617;864,2578125;0,864257813;;538,9852359;0,940155807;;;;;;;;;;;;;;;;;;;;;;;
570,702591;1,012898331;;582,027115;869,140625;0,869140625;;538,7112374;0,945467422;;;;;;;;;;;;;;;;;;;;;;;
570,2009323;1,018588771;;581,824939;874,0234375;0,874023438;;538,694556;0,950779037;;;;;;;;;;;;;;;;;;;;;;;
570,5190327;1,024279211;;581,9056352;878,90625;0,87890625;;538,7294831;0,956090652;;;;;;;;;;;;;;;;;;;;;;;
574,1353233;1,029969651;;581,5929486;883,7890625;0,883789063;;538,5855835;0,961402266;;;;;;;;;;;;;;;;;;;;;;;
573,6326927;1,035660091;;581,2624382;888,671875;0,888671875;;538,581455;0,966713881;;;;;;;;;;;;;;;;;;;;;;;
